,GTO_per_unit_vol,segment,sub_segment,Product_Set,Brand,Sub_Brand,Pack_Type,Tax,province,Discount_Total,Premium,Tier 1,Tier 2,RETURNABLE
2,258.0,Drink Led,Party Place,OW_BULK_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BULK,3577.69,Antwerp,14511.46,0,1,0,0
3,294.1666666666667,Drink Led,Party Place,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,519.41,Antwerp,1605.19,0,1,0,1
4,254.28,Drink Led,Party Place,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,288.63,Antwerp,718.32,0,1,0,1
5,347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,1.55,Namur,0.0,0,0,1,1
6,294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,15.27,Namur,0.0,0,0,1,1
7,196.44179894179896,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF BLONDE,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,61.37,Namur,686.13,0,0,1,1
8,196.44156591824984,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,94.12,Namur,1050.98,0,0,1,1
11,294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,3.04,Namur,0.0,0,1,0,1
12,196.44444444444446,Entertainment Led,Events,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,0.49,Liège,1.72,0,0,1,1
13,247.26315789473685,Entertainment Led,Events,RETURNABLE_KEG_DIEKIRCH_DIEKIRCH PILS,DIEKIRCH,DIEKIRCH PILS,KEG,91.39,Liège,84.81,0,0,1,1
14,294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,3.06,Limburg,0.0,0,1,0,1
15,453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,6.11,Hainaut,10.27,0,1,0,1
16,349.6666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,2.58,Hainaut,3.94,0,1,0,1
17,302.83333333333337,Institutional,Institutional,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,1.52,Hainaut,1.66,0,1,0,1
18,347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.62,Hainaut,4.1,0,1,0,1
19,387.88643533123025,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_FLAVOURED ALCOHOLIC,LEFFE,FLAVOURED ALCOHOLIC,BOTTLE,10.61,Hainaut,11.24,0,1,0,1
20,387.88643533123025,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,10.61,Hainaut,11.24,0,1,0,1
21,415.8990536277602,Institutional,Institutional,RETURNABLE_BOTTLE_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,39.44,Hainaut,35.64,0,1,0,1
22,408.3,Institutional,Institutional,RETURNABLE_KEG_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,KEG,14.43,Hainaut,23.05,0,1,0,1
23,366.35,Institutional,Institutional,RETURNABLE_KEG_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,KEG,12.02,Hainaut,20.78,0,1,0,1
24,308.25,Institutional,Institutional,RETURNABLE_KEG_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,KEG,4.81,Hainaut,5.69,0,1,0,1
25,256.5660377358491,Institutional,Institutional,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,127.48,Hainaut,102.09,0,1,0,1
26,386.79999999999995,Institutional,Institutional,RETURNABLE_KEG_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,KEG,12.83,Hainaut,14.19,0,1,0,1
27,128.77777777777777,Drink Led,Bar,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF BLONDE,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,93.18,Hainaut,0.0,0,0,1,1
28,128.7777777777778,Drink Led,Bar,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,51.14,Hainaut,0.0,0,0,1,1
30,200.0,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,3.04,Hainaut,0.0,0,0,1,1
35,294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,6.12,Brussels Capital Region,0.0,0,0,0,1
36,254.28,Drink Led,Bar,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,432.9,Antwerp,518.04,0,0,1,1
37,408.60465116279073,Institutional,Institutional,OW_BOTTLE_GOOSE ISLAND_GOOSE ISLAND IPA,GOOSE ISLAND,GOOSE ISLAND IPA,BOTTLE,1.79,Hainaut,0.0,0,1,0,0
38,294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,1.52,Hainaut,0.0,0,1,0,1
39,389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,5.3,Hainaut,0.0,0,1,0,1
40,453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,12.18,East Flanders,65.69,0,0,1,1
41,328.0,Institutional,Institutional,"RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSE 0,0",HOEGAARDEN,"HOEGAARDEN ROSE 0,0",BOTTLE,1.86,East Flanders,37.2,0,0,1,1
42,347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,1.55,East Flanders,32.81,0,0,1,1
43,294.1628787878788,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,134.41,East Flanders,443.76,0,0,1,1
44,389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,66.25,East Flanders,224.75,0,0,1,1
45,388.5266930767779,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,177.63,East Flanders,593.33,0,0,1,1
